borough_code,percent_recycled
101,0.4737978748552928
102,0.41660337513871076
103,0.2201662463381382
104,0.38749937315126387
105,0.3529510558513844
106,0.3480013811253956
107,0.39426765461438634
108,0.3852775539485805
109,0.24884394139328994
110,0.19542161162936572
111,0.1776993202122631
112,0.201271177930912
201,0.12939477485809153
202,0.17373507072323202
203,0.16002956121407366
204,0.1434531289703711
205,0.14678383819385038
206,0.1500588270821848
207,0.19420920786224008
208,0.29191370413334056
209,0.14552350778041115
210,0.28088938810783187
211,0.2071519126732123
212,0.2464313304931464
301,0.20963766566472078
302,0.3644831490900684
303,0.17746348138204043
304,0.20522530720403911
305,0.14098656036662213
306,0.4536006354473068
307,0.24758205725200133
308,0.2070981793249497
309,0.16756269158023088
310,0.2846593913887068
311,0.21874607788170747
312,0.17585636299171212
313,0.19646688498866505
314,0.17987810771818327
315,0.23343002131055518
316,0.1262681077306622
317,0.16699965823848556
318,0.2059055836220869
401,0.30563153401036997
402,0.26813320241509353
403,0.16860158602335398
404,0.185271683086747
405,0.2780560025857238
406,0.273487153625648
407,0.23274656830232726
408,0.23280306717372376
409,0.24632078575222938
410,0.22626638132803348
411,0.3086217907159762
412,0.18858440596925563
413,0.24281388751726496
414,0.17616136355558132
501,0.2502548820187659
502,0.2501039649542322
503,0.2546224898498809
